algorithm,generation,hypervolume
NSGA-II,1,18094.27560842599
NSGA-II,2,10809.959680759963
NSGA-II,3,10809.959680759963
NSGA-II,4,10809.959680759965
NSGA-II,5,10809.959680759963
NSGA-II,6,10809.959680759963
NSGA-II,7,10809.959680759963
NSGA-II,8,10809.959680759963
NSGA-II,9,10809.959680759961
NSGA-II,10,10809.95968075996
NSGA-II,11,10809.95968075996
NSGA-II,12,10809.95968075996
NSGA-II,13,10812.863312731437
NSGA-II,14,10812.863312731439
NSGA-II,15,10812.863312731433
NSGA-II,16,10812.863312731433
NSGA-II,17,10812.863312731433
NSGA-II,18,10812.863312731433
NSGA-II,19,10812.863312731433
NSGA-II,20,10812.863312731435
NSGA-II,21,10812.863312731437
NSGA-II,22,10812.863312731435
NSGA-II,23,9595.230389253506
NSGA-II,24,9595.230389253506
NSGA-II,25,9595.230389253506
NSGA-II,26,9595.230389253507
NSGA-II,27,9595.230389253506
NSGA-II,28,9595.230389253506
NSGA-II,29,9595.230389253504
NSGA-II,30,9595.230389253504
NSGA-II,31,9595.230389253506
NSGA-II,32,9595.230389253507
NSGA-II,33,9595.230389253507
NSGA-II,34,9595.230389253507
NSGA-II,35,9595.230389253507
NSGA-II,36,9595.23038925351
NSGA-II,37,9595.230389253513
NSGA-II,38,9595.230389253513
NSGA-II,39,9595.230389253513
NSGA-II,40,9611.504737809037
NSGA-II,41,9611.504737809037
NSGA-II,42,9611.504737809037
NSGA-II,43,9611.504737809037
NSGA-II,44,9611.504737809037
NSGA-II,45,9650.051784598543
NSGA-II,46,9650.051784598545
NSGA-II,47,9916.063174088222
NSGA-II,48,9916.063174088222
NSGA-II,49,9916.06317408822
NSGA-II,50,3654.741878487937
NSGA-II,51,3654.7418784879364
NSGA-II,52,3654.741878487937
NSGA-II,53,3654.7418784879364
NSGA-II,54,3654.7418784879364
NSGA-II,55,3654.741878487937
NSGA-II,56,3654.741878487937
NSGA-II,57,3654.7418784879364
NSGA-II,58,3654.741878487936
NSGA-II,59,3654.7418784879364
NSGA-II,60,3654.7418784879364
NSGA-II,61,5052.086462224434
NSGA-II,62,5052.086462224434
NSGA-II,63,5052.086462224434
NSGA-II,64,4267.6036013077255
NSGA-II,65,4267.6036013077255
NSGA-II,66,4267.603601307725
